iter	Passed	Remaining
0	5	1500
1	8	1246
2	13	1342
3	20	1510
4	23	1389
5	26	1317
6	30	1259
7	33	1227
8	36	1185
9	40	1166
10	43	1144
11	46	1126
12	50	1122
13	54	1106
14	57	1090
15	60	1081
16	64	1065
17	67	1049
18	70	1037
19	73	1024
20	78	1041
21	81	1034
22	85	1029
23	88	1020
24	91	1008
25	95	1001
26	98	993
27	99	964
28	103	965
29	106	958
30	109	952
31	112	938
32	116	939
33	119	935
34	121	918
35	124	911
36	128	914
37	131	908
38	134	902
39	138	902
40	142	897
41	146	898
42	150	897
43	153	891
44	156	886
45	159	881
46	162	876
47	167	877
48	169	870
49	172	863
50	175	855
51	178	852
52	182	848
53	185	845
54	189	843
55	192	839
56	195	832
57	196	821
58	199	815
59	203	812
60	205	803
61	207	797
62	210	790
63	214	790
64	218	789
65	221	785
66	225	784
67	228	778
68	231	775
69	235	772
70	238	769
71	241	764
72	245	762
73	251	766
74	254	763
75	257	759
76	261	756
77	264	752
78	267	747
79	269	742
80	272	737
81	275	732
82	278	727
83	281	723
84	284	719
85	285	711
86	289	707
87	297	717
88	299	709
89	302	705
90	303	697
91	306	692
92	308	687
93	311	683
94	314	678
95	316	673
96	320	669
97	323	666
98	325	661
99	328	656
100	330	651
101	333	647
102	336	643
103	339	639
104	341	634
105	344	630
106	347	626
107	348	619
108	351	615
109	354	611
110	356	607
111	359	603
112	361	597
113	363	593
114	366	589
115	368	585
116	371	581
117	374	577
118	377	573
119	379	569
120	382	565
121	384	561
122	387	558
123	390	554
124	393	551
125	396	547
126	398	543
127	401	539
128	404	535
129	407	532
130	410	529
131	413	526
132	416	523
133	419	520
134	422	516
135	425	513
136	428	509
137	431	506
138	433	502
139	436	498
140	439	495
141	442	491
142	444	488
143	447	484
144	449	480
145	452	477
146	455	474
147	458	470
148	461	467
149	463	463
150	466	460
151	469	456
152	471	453
153	474	449
154	477	446
155	480	443
156	482	439
157	491	441
158	493	437
159	496	434
160	499	431
161	502	427
162	504	424
163	507	420
164	510	417
165	513	414
166	515	410
167	518	407
168	521	404
169	524	400
170	527	397
171	529	394
172	532	390
173	535	387
174	538	384
175	540	381
176	543	377
177	546	374
178	549	371
179	552	368
180	554	364
181	557	361
182	560	358
183	562	354
184	565	351
185	567	348
186	570	344
187	573	341
188	575	338
189	579	335
190	581	332
191	584	328
192	586	325
193	589	321
194	591	318
195	594	315
196	596	312
197	599	308
198	602	305
199	605	302
200	608	299
201	610	296
202	613	293
203	615	289
204	619	287
205	622	283
206	624	280
207	627	277
208	628	273
209	631	270
210	634	267
211	637	264
212	639	261
213	642	258
214	645	255
215	647	251
216	650	248
217	653	245
218	654	242
219	657	238
220	659	235
221	662	232
222	665	229
223	667	226
224	670	223
225	673	220
226	676	217
227	678	214
228	681	211
229	683	208
230	686	205
231	689	202
232	691	198
233	692	195
234	695	192
235	698	189
236	700	186
237	702	183
238	705	180
239	708	177
240	711	174
241	714	171
242	716	168
243	719	165
244	722	162
245	724	159
246	727	156
247	730	153
248	732	150
249	735	147
250	738	144
251	740	141
252	742	137
253	745	134
254	747	131
255	749	128
256	752	125
257	757	123
258	760	120
259	762	117
260	765	114
261	768	111
262	770	108
263	773	105
264	775	102
265	777	99
266	780	96
267	782	93
268	784	90
269	787	87
270	788	84
271	791	81
272	793	78
273	795	75
274	799	72
275	801	69
276	804	66
277	808	63
278	810	61
279	813	58
280	815	55
281	818	52
282	820	49
283	823	46
284	826	43
285	829	40
286	832	37
287	834	34
288	837	31
289	840	28
290	843	26
291	845	23
292	847	20
293	850	17
294	852	14
295	854	11
296	857	8
297	860	5
298	862	2
299	865	0
	160
275	1769	153
276	1774	147
277	1778	140
278	1782	134
279	1785	127
280	1788	120
281	1791	114
282	1796	107
283	1800	101
284	1804	94
285	1807	88
286	1811	82
287	1815	75
288	1818	69
289	1821	62
290	1824	56
291	1842	50
292	1846	44
293	1849	37
294	1853	31
295	1857	25
296	1860	18
297	1863	12
298	1868	6
299	1871	0
