weight,status,FINALDEST,FOOTINGS,LEASE,LOCATION,REGION,PIERS,SECURED,TITLED,SECTIONS,PRICE,SQFT,BEDROOMS,SHIPMONTH,WGTADJ,CONTROL,BEDROOMS_PER_SQFT,LOG_SQFT
47.392900000000004,2,1,3,0,Suburban,South,1,1,Land-Home,1,95000,1200,3,202301,1.0981,23010001,2.5,7.0909098220799835
47.392900000000004,2,1,3,0,Suburban,South,1,1,Land-Home,1,70000,1200,3,202301,1.0981,23010002,2.5,7.0909098220799835
47.392900000000004,1,1,3,0,Suburban,South,1,1,Land-Home,1,99000,1300,3,202301,1.0981,23010003,2.307692307692308,7.170888478512505
47.392900000000004,2,1,4,0,Suburban,South,1,1,Land-Home,1,79000,900,1,202301,1.0981,23010004,1.1111111111111112,6.803505257608338
47.392900000000004,2,1,5,0,Suburban,South,1,1,Land-Home,1,69000,900,1,202301,1.0981,23010005,1.1111111111111112,6.803505257608338
16.5579,2,1,4,0,Rural,West,3,3,Land-Home,1,95000,1200,3,202301,1.0981,23010006,2.5,7.0909098220799835
16.5579,2,1,4,0,Rural,West,3,1,Land-Home,1,57000,540,1,202301,1.0981,23010007,1.8518518518518519,6.293419278846481
16.5579,2,1,3,0,Urban,West,3,1,Land-Home,1,140000,900,1,202301,1.0981,23010008,1.1111111111111112,6.803505257608338
16.5579,2,1,3,0,Suburban,West,1,1,Vehicle,1,100000,730,1,202301,1.0981,23010009,1.36986301369863,6.594413459749778
16.5579,2,1,4,0,Urban,West,3,1,Land-Home,1,130000,870,3,202301,1.0981,23010010,3.4482758620689653,6.769641976852503
16.5579,2,1,3,0,Rural,West,3,1,Land-Home,1,75000,730,1,202301,1.0981,23010011,1.36986301369863,6.594413459749778
16.5579,1,1,3,0,Urban,West,1,1,Land-Home,1,66000,640,1,202301,1.0981,23010012,1.5625,6.46302945692067
16.5579,1,1,3,0,Urban,West,1,1,Land-Home,1,75000,1100,3,202301,1.0981,23010013,2.7272727272727275,7.00397413672268
47.392900000000004,2,1,4,0,Urban,South,1,1,Vehicle,1,76000,840,1,202301,1.0981,23010015,1.1904761904761907,6.734591659972948
47.392900000000004,2,1,3,0,Urban,South,1,1,Land-Home,1,85000,1000,3,202301,1.0981,23010016,3.0,6.90875477931522
47.392900000000004,2,1,3,0,Urban,South,1,1,Vehicle,1,85000,1000,3,202301,1.0981,23010017,3.0,6.90875477931522
47.392900000000004,2,1,4,0,Rural,South,1,1,Land-Home,1,85000,1000,3,202301,1.0981,23010018,3.0,6.90875477931522
12.9182,2,1,3,0,Urban,Midwest,1,1,Vehicle,1,95000,1200,3,202301,1.0981,23010019,2.5,7.0909098220799835
12.9182,2,1,3,0,Urban,Midwest,1,1,Vehicle,1,82000,960,1,202301,1.0981,23010020,1.0416666666666667,6.8679744089702925
12.9182,1,1,3,0,Urban,Midwest,1,2,Land-Home,1,70000,670,1,202301,1.0981,23010021,1.492537313432836,6.508769136971682
12.9182,2,1,3,0,Urban,Midwest,1,1,Vehicle,1,65000,960,1,202301,1.0981,23010022,1.0416666666666667,6.8679744089702925
12.9182,2,1,3,0,Suburban,Midwest,1,1,Vehicle,1,95000,1200,1,202301,1.0981,23010023,0.8333333333333334,7.0909098220799835
12.9182,1,1,3,0,Suburban,Midwest,1,1,Vehicle,1,92000,1200,3,202301,1.0981,23010025,2.5,7.0909098220799835
12.9182,1,1,3,0,Urban,Midwest,1,1,Vehicle,1,87000,1100,3,202301,1.0981,23010026,2.7272727272727275,7.00397413672268
12.9182,1,1,3,0,Urban,Midwest,1,1,Land-Home,1,95000,1200,3,202301,1.0981,23010027,2.5,7.0909098220799835
12.9182,1,1,3,0,Urban,Midwest,1,1,Land-Home,1,95000,1200,3,202301,1.0981,23010029,2.5,7.0909098220799835
12.9182,2,1,4,0,Urban,Midwest,1,1,Land-Home,1,80000,830,1,202301,1.0981,23010031,1.2048192771084338,6.7226297948554485
12.9182,1,1,3,0,Urban,Midwest,1,1,Land-Home,1,87000,1100,3,202301,1.0981,23010032,2.7272727272727275,7.00397413672268
12.9182,2,1,3,0,Urban,Midwest,1,1,Vehicle,1,92000,1200,3,202301,1.0981,23010034,2.5,7.0909098220799835
12.9182,1,1,3,0,Urban,Midwest,1,1,Land-Home,1,83000,1100,3,202301,1.0981,23010035,2.7272727272727275,7.00397413672268
12.9182,2,1,3,0,Urban,Midwest,1,1,Other,1,89000,1100,3,202301,1.0981,23010037,2.7272727272727275,7.00397413672268
12.9182,1,1,3,0,Urban,Midwest,1,1,Other,1,87000,1100,3,202301,1.0981,23010038,2.7272727272727275,7.00397413672268
12.9182,1,1,3,0,Urban,Midwest,1,1,Other,1,53000,960,1,202301,1.0981,23010039,1.0416666666666667,6.8679744089702925
47.392900000000004,2,1,5,0,Urban,South,1,1,Land-Home,1,90000,1100,3,202301,1.0981,23010041,2.7272727272727275,7.00397413672268
47.392900000000004,2,1,5,0,Rural,South,1,1,Land-Home,1,47200,1300,3,202301,1.0981,23010042,2.307692307692308,7.170888478512505
16.5579,1,1,5,0,Suburban,West,3,1,Land-Home,1,57000,540,1,202301,1.0981,23010044,1.8518518518518519,6.293419278846481
16.5579,2,1,3,0,Suburban,West,1,1,Vehicle,1,57000,920,3,202301,1.0981,23010045,3.260869565217391,6.825460036255307
12.3667,2,1,3,0,Urban,Northeast,1,1,Land-Home,1,67000,840,1,202301,1.0981,23010046,1.1904761904761907,6.734591659972948
47.392900000000004,2,1,3,0,Suburban,South,1,1,Land-Home,1,95000,1200,3,202301,1.0981,23010047,2.5,7.0909098220799835
47.392900000000004,2,1,5,0,Suburban,South,1,1,Land-Home,1,85000,1000,3,202301,1.0981,23010048,3.0,6.90875477931522
47.392900000000004,2,1,3,0,Rural,South,1,1,Land-Home,1,78000,920,3,202301,1.0981,23010049,3.260869565217391,6.825460036255307
12.9182,1,1,3,0,Urban,Midwest,1,1,Land-Home,1,80000,920,3,202301,1.0981,23010050,3.260869565217391,6.825460036255307
12.9182,2,1,4,0,Urban,Midwest,1,1,Land-Home,1,120000,1100,3,202301,1.0981,23010051,2.7272727272727275,7.00397413672268
12.9182,1,1,3,0,Urban,Midwest,1,1,Land-Home,1,53000,780,1,202301,1.0981,23010052,1.2820512820512822,6.660575149839686
47.392900000000004,2,1,3,0,Rural,South,1,1,Land-Home,1,47200,840,1,202301,1.0981,23010053,1.1904761904761907,6.734591659972948
16.5579,2,1,3,0,Suburban,West,1,1,Land-Home,1,70000,730,1,202301,1.0981,23010054,1.36986301369863,6.594413459749778
12.3667,2,1,3,0,Urban,Northeast,1,1,Land-Home,1,80000,920,3,202301,1.0981,23010055,3.260869565217391,6.825460036255307
12.3667,1,1,3,0,Urban,Northeast,1,1,Land-Home,1,79000,900,1,202301,1.0981,23010056,1.1111111111111112,6.803505257608338
47.392900000000004,2,1,4,0,Rural,South,1,1,Land-Home,1,85000,1000,3,202301,1.0981,23010057,3.0,6.90875477931522
47.392900000000004,2,1,5,0,Rural,South,1,1,Land-Home,1,120000,1000,1,202301,1.0981,23010058,1.0,6.90875477931522
47.392900000000004,2,1,3,0,Suburban,South,1,1,Vehicle,1,80000,1200,3,202301,1.0981,23010059,2.5,7.0909098220799835
47.392900000000004,2,1,3,0,Rural,South,1,1,Vehicle,1,80000,920,3,202301,1.0981,23010060,3.260869565217391,6.825460036255307
