feature,importance
num__SQFT,58.41179155823202
cat__REGION_West,11.282124728668451
cat__LOCATION_Urban,4.999368634661886
num__BEDROOMS,4.264718409692557
cat__TITLED_Vehicle,3.5118516552489645
cat__REGION_Northeast,2.9246134576340364
cat__REGION_South,2.7098945912307886
cat__REGION_nan,2.2826272724490795
cat__FOOTINGS_3,1.9184900234823876
cat__LOCATION_Suburban,1.6595131189672274
cat__FOOTINGS_4,1.5162568442141984
cat__FOOTINGS_2,1.4293961225195335
cat__FOOTINGS_5,1.052398261105749
cat__TITLED_Other,0.907081165253174
cat__LOCATION_nan,0.5015542340498351
cat__FOOTINGS_9,0.4710881343275804
cat__TITLED_nan,0.15723178826254564
